date,category,amount,description
2026-03-15,Rent,1200.00,Monthly apartment rent
2026-03-18,Food,45.50,Grocery shopping at Walmart
2026-03-22,Transport,30.00,Fuel refill
2026-03-28,Utilities,115.20,Electricity and water bill
2026-04-02,Entertainment,55.00,Movie night with friends
2026-04-05,Food,12.80,McDonalds lunch
2026-04-12,Transport,15.00,Metro card recharge
2026-04-15,Rent,1200.00,Monthly apartment rent
2026-04-20,Utilities,98.50,Internet connection bill
2026-04-25,Food,85.20,Weekly meal prep ingredients
2026-05-01,Entertainment,12.99,Netflix monthly subscription
2026-05-05,Transport,45.00,Uber rides
2026-05-15,Rent,1200.00,Monthly apartment rent
2026-05-18,Food,62.30,Dinner at restaurant
2026-05-24,Utilities,105.00,Gas and heating bill
2026-06-01,Food,35.00,Snacks and coffee
